Designator,Footprint,Quantity,Value,LCSC Part #
"H101, H102, H103, H104",MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,4,MountingHole_Pad,
H105,MountingHole_6.4mm_M6_DIN965_Pad_TopBottom,1,MountingHole_Pad,
