Freq.	V(mc)	V(mm)
2.51785082358831e+004	(-4.59938374481196e+001dB,8.12946435622162e+001°)	(-2.26720251424595e+001dB,8.12946435622162e+001°)
2.57649910338625e+004	(-4.57966379757671e+001dB,8.12668918111011e+001°)	(-2.24748256701070e+001dB,8.12668918111011e+001°)
2.63651347711279e+004	(-4.55994502709807e+001dB,8.12346079940869e+001°)	(-2.22776379653206e+001dB,8.12346079940869e+001°)
2.69792576518328e+004	(-4.54022801663572e+001dB,8.11977759083751e+001°)	(-2.20804678606971e+001dB,8.11977759083751e+001°)
2.76076852920574e+004	(-4.52051335291874e+001dB,8.11563774022676e+001°)	(-2.18833212235273e+001dB,8.11563774022676e+001°)
2.82507508924548e+004	(-4.50080162727817e+001dB,8.11103923717053e+001°)	(-2.16862039671216e+001dB,8.11103923717053e+001°)
2.89087954149183e+004	(-4.48109343678627e+001dB,8.10597987578595e+001°)	(-2.14891220622026e+001dB,8.10597987578595e+001°)
2.95821677633639e+004	(-4.46138938540406e+001dB,8.10045725458072e+001°)	(-2.12920815483806e+001dB,8.10045725458072e+001°)
3.02712249687239e+004	(-4.44169008513860e+001dB,8.09446877643305e+001°)	(-2.10950885457259e+001dB,8.09446877643305e+001°)
3.09763323782493e+004	(-4.42199615721137e+001dB,8.08801164868894e+001°)	(-2.08981492664536e+001dB,8.08801164868894e+001°)
3.16978638492220e+004	(-4.40230823323943e+001dB,8.08108288338232e+001°)	(-2.07012700267342e+001dB,8.08108288338232e+001°)
3.24362019471783e+004	(-4.38262695643055e+001dB,8.07367929758501e+001°)	(-2.05044572586454e+001dB,8.07367929758501e+001°)
3.31917381487509e+004	(-4.36295298279387e+001dB,8.06579751389387e+001°)	(-2.03077175222787e+001dB,8.06579751389387e+001°)
3.39648730492346e+004	(-4.34328698236736e+001dB,8.05743396106380e+001°)	(-2.01110575180135e+001dB,8.05743396106380e+001°)
3.47560165749872e+004	(-4.32362964046341e+001dB,8.04858487479604e+001°)	(-1.99144840989740e+001dB,8.04858487479604e+001°)
